SPECIES,STRAIN,PHYLUM,BIOPROJECT,BIOSAMPLE,LOCUS
Rhodotorula_mucilaginosa_IF6SW-F1,Rhodotorula_mucilaginosa,IF6SW-F1,Basidiomycota,PRJNA625575,SAMN14603666,IFK68
Rhodotorula_mucilaginosa_IF4SW-F2,Rhodotorula_mucilaginosa,IF4SW-F2,Basidiomycota,PRJNA625575,SAMN14603664,IFK66
Rhodotorula_mucilaginosa_IF4SW-B1,Rhodotorula_mucilaginosa,IF4SW-B1,Basidiomycota,PRJNA625575,SAMN14603651,IFK53
